e+e- --> pi+pi-pi0chib0							
Energy (MeV)	q1/a	q2	q3	q4	p2	p3	p1
10653.0	-1.45E-01	1.89E-02	1.89E-03	-3.49E-04	5.87E-01	2.84E-01	1.71E-01
10701.0	1.5	-	-	-	-	-	-
10731.3	3.8	-	-	-	-	-	-
10829.5	8.63E-02	2.52E-03	-3.60E-04	7.76E-06	7.13E-02	7.01E-02	2.72E-01
10848.9	2.5	-	-	-	-	-	-
10857.4	2.6	-	-	-	-	-	-
10877.8	-4.09E-03	2.17E-05	9.35E-07	-8.27E-09	9.68E-02	3.62E-01	3.20E+00
10882.8	1.5	-	-	-	-	-	-
10888.9	2.7	-	-	-	-	-	-
10898.3	-8.44E-03	1.09E-04	9.70E-06	-3.76E-07	2.98E-01	1.51E+00	1.87E+00
10907.3	2.55	-	-	-	-	-	-
10928.7	-6.27E-03	-2.57E-06	8.80E-07	5.32E-10	1.80E-01	1.40E+00	2.60E+00
10957.5	2.6	-	-	-	-	-	-
10975.3	5.82E-02	9.88E-04	-7.45E-05	8.41E-07	3.90E-02	4.34E-02	3.64E-01
10990.4	3.0	-	-	-	-	-	-
11003.9	2.9	-	-	-	-	-	-
11014.8	3.3	-	-	-	-	-	-
11018.5	2.8	-	-	-	-	-	-
11020.8	2.4	-	-	-	-	-	-
							
e+e- --> pi+pi-pi0chib1							
Energy (MeV)	q1/a	q2	q3	q4	p2	p3	p1
10653.0	0.1	-	-	-	-	-	-
10701.0	-2.23E-01	1.06E-01	8.97E-02	-6.09E-02	3.11E+00	9.63E-01	8.61E-01
10731.3	7.94E-01	-1.08E-01	-3.99E-02	8.17E-03	5.97E-01	4.37E-02	4.99E-01
10829.5	0.1	-	-	-	-	-	-
10848.9	-5.29E+00	9.40E+00	-6.88E+00	2.28E+00	-1.73E+00	1.09E+01	5.59E+00
10857.4	-3.62E-02	-6.00E-03	2.34E-03	1.49E-04	1.10E+00	4.57E-01	4.52E+00
10877.8	-6.52E+00	1.07E+01	-5.80E+00	1.49E+00	-5.95E-01	9.20E+00	6.51E+00
10882.8	-2.41E+00	2.19E+00	-9.52E-01	1.92E-01	-1.64E+00	8.59E+00	1.82E+00
10888.9	-7.07E-01	5.18E-01	-1.46E-01	1.42E-02	2.34E+00	8.13E-01	3.25E+00
10898.3	-7.78E+00	1.86E+01	-1.74E+01	8.16E+00	-1.49E+00	7.92E+00	4.37E+00
10907.3	-6.99E+00	1.23E+01	-7.14E+00	1.98E+00	-9.24E-01	1.90E+01	1.50E+01
10928.7	0.2	-	-	-	-	-	-
10957.5	-8.31E+00	1.73E+01	-1.20E+01	3.93E+00	-1.02E+00	1.64E+01	1.27E+01
10975.3	-6.72E+00	1.14E+01	-6.36E+00	1.67E+00	-4.28E-01	4.58E+00	2.73E+00
10990.4	-6.35E-01	4.26E-01	-1.10E-01	9.72E-03	2.11E+00	7.91E-01	3.20E+00
11003.9	-6.35E-01	4.26E-01	-1.10E-01	9.72E-03	2.11E+00	7.91E-01	3.20E+00
11014.8	1.33E-01	-1.36E-02	-1.70E-03	2.34E-04	1.04E+00	-6.21E-02	2.88E+00
11018.5	-1.31E+00	5.85E-01	-1.16E-01	1.47E-02	1.38E-01	7.86E-02	1.83E+00
11020.8	-7.21E+00	1.31E+01	-7.86E+00	2.22E+00	-4.56E-01	4.53E+00	2.69E+00
							
e+e- --> pi+pi-pi0chib2							
Energy (MeV)	q1/a	q2	q3	q4	p2	p3	p1
10653.0	-2.18E+00	1.30E+00	5.46E+00	-6.85E+00	7.92E+00	1.03E+00	8.72E-01
10701.0	0.2	-	-	-	-	-	-
10731.3	-3.72E-01	1.64E-01	-2.42E-02	1.18E-03	5.80E-01	2.55E-01	1.10E+00
10829.5	0.2	-	-	-	-	-	-
10848.9	0.3	-	-	-	-	-	-
10857.4	8.87E-03	-1.69E-03	-1.04E-04	2.06E-05	8.41E-01	2.06E-01	2.02E+00
10877.8	3.13E+00	-1.21E+00	1.94E-01	-1.12E-02	2.20E-01	6.47E-03	2.74E-01
10882.8	1.59E-01	-2.99E-02	-1.26E-02	3.38E-03	1.34E+00	5.56E-01	1.03E+00
10888.9	1.37E-02	-2.48E-03	-2.02E-04	3.92E-05	8.10E-01	2.03E-01	2.01E+00
10898.3	0.1	-	-	-	-	-	-
10907.3	3.73E+00	-1.58E+00	2.77E-01	-1.74E-02	2.25E-01	5.37E-03	2.61E-01
10928.7	0.2	-	-	-	-	-	-
10957.5	0.3	-	-	-	-	-	-
10975.3	7.42E-02	4.80E-02	-7.49E-03	2.94E-04	3.59E-01	-4.40E-01	2.14E+00
10990.4	0.3	-	-	-	-	-	-
11003.9	-0.43	5.53E-02	-2.27E-03	5.76E-05	6.14E-03	-4.23E-03	9.12E-01
11014.8	0.4	-	-	-	-	-	-
11018.5	0.3	-	-	-	-	-	-
11020.8	3.80	-1.67E+00	3.05E-01	-2.00E-02	2.38E-01	5.65E-03	2.65E-01
							
e+e- --> omega chib0							
Energy (MeV)	q1/a	q2	q3	q4	p2	p3	p1
10701.0	1.6	-	-	-	-	-	-
